date,val latitude,val longitude,propeller speed1,propeller speed2,propeller speed3,propeller speed4,str1 target,str2 target,str3 target,str4 target,heading,heading target,mode
14:58:16,-6.7330966,107.37377,100,105,116,175,-90,0,0,90,50,58,forward
14:58:19,-6.7330961,107.37377,100,105,116,425,-90,0,0,90,60,77,forward
14:58:21,-6.7330952,107.37378,350,105,116,0,-90,0,0,90,85,64,forward
14:58:23,-6.7330933,107.37378,350,50,50,0,-90,0,0,90,97,64,forward
14:58:25,-6.7330933,107.37378,350,50,50,0,-90,0,0,90,97,73,forward
14:58:27,-6.7330933,107.37378,125,50,50,64,-90,0,0,90,94,93,forward
14:58:29,-6.7330933,107.37378,103,50,50,350,-90,0,0,90,95,109,forward
14:58:31,-6.7330942,107.37379,350,50,50,225,-90,0,0,90,110,119,forward
14:58:33,-6.7330952,107.37379,105,50,50,250,-90,0,0,90,109,119,forward
14:58:35,-6.7330956,107.37378,124,50,50,150,-90,0,0,90,113,119,forward
14:58:37,-6.7330971,107.37378,112,50,50,0,-90,0,0,90,120,119,forward
14:58:39,-6.7330976,107.37378,150,50,50,0,-90,0,0,90,123,119,forward
14:58:41,-6.733098,107.37378,100,50,50,50,-90,0,0,90,119,119,forward
14:58:43,-6.7330976,107.37379,100,50,50,125,-90,0,0,90,114,119,forward
14:58:45,-6.7330971,107.37378,100,50,50,125,-90,0,0,90,114,119,forward
14:58:47,-6.7330976,107.37378,112,50,50,0,-90,0,0,90,120,119,forward
14:58:49,-6.733098,107.37378,125,50,50,0,-90,0,0,90,121,119,forward
14:58:51,-6.733098,107.37378,100,50,50,159,-90,0,0,90,119,119,forward
14:58:54,-6.7330971,107.37378,100,50,50,100,-90,0,0,90,115,119,forward
14:58:56,-6.7330971,107.37378,100,50,50,100,-90,0,0,90,115,119,forward
14:58:58,-6.7330971,107.37378,138,50,50,50,-90,0,0,90,117,119,forward
14:59:00,-6.7330971,107.37378,100,50,50,0,-90,0,0,90,119,119,forward
14:59:02,-6.7330966,107.37378,100,50,50,25,-90,0,0,90,118,119,forward
14:59:04,-6.7330961,107.37378,100,50,50,25,-90,0,0,90,118,119,forward
14:59:06,-6.7330956,107.37378,100,50,50,50,-90,0,0,90,117,119,forward
14:59:08,-6.7330956,107.37378,100,50,50,50,-90,0,0,90,117,119,forward
14:59:10,-6.7330952,107.37378,107,50,50,100,-90,0,0,90,115,119,forward
14:59:12,-6.7330942,107.37378,100,50,50,100,-90,0,0,90,115,119,forward
14:59:14,-6.7330937,107.37378,145,50,50,25,-90,0,0,90,118,119,forward
14:59:16,-6.7330937,107.37378,117,50,50,25,-90,0,0,90,118,119,forward
14:59:18,-6.7330937,107.37378,100,50,50,50,-90,0,0,90,117,119,forward
14:59:20,-6.7330937,107.37378,100,50,50,75,-90,0,0,90,116,119,forward
14:59:22,-6.7330937,107.37378,102,50,50,100,-90,0,0,90,115,119,forward
14:59:24,-6.7330937,107.37378,100,50,50,75,-90,0,0,90,116,119,forward
14:59:26,-6.7330937,107.37378,100,50,50,0,-90,0,0,90,119,119,forward
14:59:28,-6.7330937,107.37378,125,50,50,0,-90,0,0,90,121,119,forward
14:59:30,-6.7330937,107.37378,112,50,50,53,-90,0,0,90,120,119,forward
14:59:32,-6.7330937,107.37378,100,50,50,83,-90,0,0,90,119,119,forward
14:59:35,-6.7330937,107.37378,100,50,50,0,-90,0,0,90,119,119,forward
14:59:37,-6.7330937,107.37378,100,50,50,32,-90,0,0,90,119,119,forward
14:59:39,-6.7330937,107.37378,100,50,50,0,-90,0,0,90,119,119,forward
14:59:41,-6.7330937,107.37378,100,50,50,0,-90,0,0,90,119,119,forward
14:59:43,-6.7330937,107.37378,100,50,50,0,-90,0,0,90,119,119,forward
14:59:45,-6.7330937,107.37378,112,50,50,17,-90,0,0,90,120,119,forward
14:59:47,-6.7330937,107.37378,112,50,50,16,-90,0,0,90,120,119,forward
14:59:49,-6.7330937,107.37378,112,50,50,0,-90,0,0,90,120,119,forward
14:59:51,-6.7330937,107.37378,110,50,50,50,-90,0,0,90,122,125,forward
14:59:53,-6.7330937,107.37378,146,50,50,250,-90,0,0,90,123,133,forward
14:59:55,-6.7330937,107.37378,186,50,50,125,-90,0,0,90,128,133,forward
14:59:57,-6.7330937,107.37378,100,50,50,150,-90,0,0,90,127,133,forward
14:59:59,-6.7330937,107.37378,136,50,50,125,-90,0,0,90,128,133,forward
15:00:01,-6.7330937,107.37378,156,50,50,75,-90,0,0,90,130,133,forward
15:00:03,-6.7330937,107.37378,100,50,50,225,-90,0,0,90,124,133,forward
15:00:05,-6.7330937,107.37378,120,50,50,75,-90,0,0,90,130,133,forward
15:00:07,-6.7330937,107.37378,112,50,50,0,-90,0,0,90,134,133,forward
15:00:09,-6.7330937,107.37378,125,50,50,0,-90,0,0,90,135,133,forward
15:00:11,-6.7330937,107.37378,100,50,50,25,-90,0,0,90,132,133,forward
15:00:13,-6.7330937,107.37378,100,50,50,125,-90,0,0,90,128,133,forward
15:00:15,-6.7330937,107.37378,100,50,50,100,-90,0,0,90,129,133,forward
15:00:17,-6.7330937,107.37378,100,50,50,0,-90,0,0,90,133,133,forward
15:00:19,-6.7330937,107.37378,125,50,50,0,-90,0,0,90,135,133,forward
15:00:21,-6.7330937,107.37378,100,50,50,25,-90,0,0,90,132,133,forward
15:00:24,-6.7330937,107.37378,100,50,50,125,-90,0,0,90,128,133,forward
15:00:26,-6.7330937,107.37378,100,50,50,100,-90,0,0,90,129,133,forward
15:00:28,-6.7330937,107.37378,149,50,50,50,-90,0,0,90,131,133,forward
15:00:30,-6.7330937,107.37378,112,50,50,0,-90,0,0,90,134,133,forward
15:00:32,-6.7330937,107.37378,112,50,50,0,-90,0,0,90,134,133,forward
15:00:34,-6.7330937,107.37378,112,50,50,26,-90,0,0,90,134,133,forward
15:00:36,-6.7330937,107.37378,100,50,50,25,-90,0,0,90,132,133,forward
15:00:38,-6.7330937,107.37378,104,50,50,50,-90,0,0,90,131,133,forward
15:00:40,-6.7330937,107.37378,100,50,50,125,-90,0,0,90,128,133,forward
15:00:42,-6.7330937,107.37378,100,50,50,75,-90,0,0,90,130,133,forward
15:00:44,-6.7330937,107.37378,141,50,50,25,-90,0,0,90,132,133,forward
15:00:46,-6.7330937,107.37378,112,50,50,0,-90,0,0,90,134,133,forward
15:00:48,-6.7330937,107.37378,103,50,50,25,-90,0,0,90,132,133,forward
15:00:50,-6.7330937,107.37378,100,50,50,75,-90,0,0,90,130,133,forward
15:00:52,-6.7330937,107.37378,100,50,50,125,-90,0,0,90,128,133,forward
15:00:54,-6.7330937,107.37378,131,50,50,50,-90,0,0,90,131,133,forward
15:00:56,-6.7330937,107.37378,117,50,50,50,-90,0,0,90,131,133,forward
15:00:58,-6.7330937,107.37378,100,50,50,100,-90,0,0,90,129,133,forward
