date,val latitude,val longitude,propeller speed1,propeller speed2,propeller speed3,propeller speed4,str1 target,str2 target,str3 target,str4 target,heading,heading target,mode,0,0
13:40:20,-6.933324,107.768957,0,0,0,0,0,0,0,0,262,262,free,0,0
13:40:22,-6.933324,107.768957,0,0,0,0,0,0,0,0,262,262,free,0,0
13:40:24,-6.933324,107.768957,0,0,0,0,0,0,0,0,262,262,free,0,0
13:40:26,-6.933324,107.768957,0,0,0,0,0,0,0,0,262,262,free,0,0
13:40:28,-6.933324,107.768957,0,0,0,0,0,0,0,0,262,262,free,0,0
13:40:30,-6.933324,107.768957,0,0,0,0,0,0,0,0,262,262,free,0,0
13:40:32,-6.933324,107.768957,100,50,50,50,0,0,0,0,262,262,free,0,0
13:40:34,-6.933324,107.768957,162,50,50,50,0,0,0,0,262,262,free,0,0
13:40:36,-6.933324,107.768957,175,50,50,50,0,0,0,0,262,262,free,0,0
13:40:38,-6.933324,107.768957,100,50,50,50,0,0,0,0,261,261,free,0,0
13:40:40,-6.933324,107.768957,100,50,50,50,0,0,0,0,262,262,free,0,0
13:40:42,-6.933324,107.768957,100,50,95,50,0,0,0,0,261,261,free,0,0
13:40:44,-6.933324,107.768957,100,50,110,50,0,0,0,0,262,262,free,0,0
13:40:46,-6.933324,107.768957,100,50,170,50,0,0,0,0,262,262,free,0,0
13:40:49,-6.933324,107.768957,100,50,140,50,0,0,0,0,261,261,free,0,0
13:40:51,-6.933324,107.768957,100,50,50,50,0,0,0,0,262,262,free,0,0
13:40:53,-6.933324,107.768957,100,50,50,50,0,0,0,0,262,262,free,0,0
13:40:55,-6.933324,107.768957,100,50,50,50,0,0,0,0,262,262,free,0,0
13:40:57,-6.933324,107.768957,100,50,50,50,0,0,0,0,264,264,free,0,0
13:40:59,-6.933324,107.768957,100,50,50,50,0,0,0,0,262,262,free,0,0
13:41:01,-6.933324,107.768957,100,50,50,50,0,0,0,0,261,261,free,0,0
13:41:03,-6.933324,107.768957,100,50,50,50,0,0,0,0,262,262,free,0,0
13:41:05,-6.933324,107.768957,100,50,50,50,0,0,0,0,261,261,free,0,0
13:41:07,-6.933324,107.768957,100,50,50,50,0,0,0,0,261,261,free,0,0
13:41:09,0,0,100,50,50,50,0,0,0,0,261,261,free,0,0
13:41:11,0,0,100,50,50,50,0,0,0,0,262,262,free,0,0
13:41:13,0,0,100,50,50,50,0,0,0,0,262,262,free,0,0
13:41:15,0,0,100,50,50,50,0,0,0,0,262,262,free,0,0
13:41:17,0,0,100,50,50,50,0,0,0,0,261,261,free,0,0
13:41:19,0,0,100,50,50,50,0,0,0,0,262,262,free,0,0
13:41:21,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:24,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:26,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:28,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:30,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:32,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:34,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:36,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:38,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:40,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:42,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:41:44,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:41:46,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:48,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:50,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:53,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:55,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:57,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:41:59,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:42:01,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:42:03,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:42:05,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:42:07,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:42:09,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:42:11,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:42:13,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:42:15,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:42:17,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:42:19,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:21,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:24,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:42:26,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:28,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:30,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:42:32,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:34,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:42:36,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:38,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:40,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:42,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:44,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:42:46,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:48,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:50,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:53,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:55,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:57,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:42:59,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:01,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:03,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:05,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:07,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:09,0,0,100,50,50,50,0,0,0,0,270,270,free,0,0
13:43:11,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:13,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:16,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:43:18,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:20,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:22,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:24,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:43:26,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:28,0,0,100,50,50,50,0,0,0,0,268,268,free,0,0
13:43:30,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:32,0,0,100,50,50,50,0,0,0,0,270,270,free,0,0
13:43:34,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:36,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:38,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:40,0,0,100,50,50,50,0,0,0,0,269,269,free,0,0
13:43:43,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:43:45,0,0,100,50,50,50,0,0,0,0,266,266,free,0,0
13:43:47,0,0,100,50,50,50,0,0,0,0,267,267,free,0,0
13:43:49,0,0,100,50,50,50,0,0,0,0,271,271,free,0,0
13:43:51,0,0,100,50,50,50,0,0,0,0,275,275,free,0,0
13:43:53,0,0,100,50,50,50,0,0,0,0,275,275,free,0,0
13:43:55,0,0,100,50,50,50,0,0,0,0,275,275,free,0,0
