ComponentId,Layer,Type,Latitude,Longitude,Value1,Value2
0,"Isobaths",Isobath_shell,-7.744856232,108.99290534,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744856232,108.992843708,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744836947,108.992769101,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744836947,108.992765857,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744804805,108.992723688,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744775877,108.992678275,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744705165,108.992626374,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744653738,108.992606911,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744595882,108.992600424,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744541241,108.992613399,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744483385,108.992655568,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744374103,108.992752882,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744332318,108.992808026,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744284105,108.99287939,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744229463,108.992827489,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744271248,108.992782076,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744158751,108.992694494,0.00,1.00
0,"Isobaths",Isobath_shell,-7.744088039,108.99269125,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743969113,108.992756127,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743901615,108.992778833,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743840545,108.992778833,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743798761,108.992717201,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74376019,108.992610157,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74372162,108.992486893,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743676621,108.992412286,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74362198,108.992357142,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743541625,108.99232146,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743413057,108.992318217,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743155921,108.992318217,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743030567,108.992311729,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742964533,108.99227235,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742924487,108.99227235,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742924487,108.992298428,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742942571,108.992298428,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742942571,108.992334689,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742960655,108.992334689,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742960655,108.992352819,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742996823,108.992352819,0.00,1.00
0,"Isobaths",Isobath_shell,-7.742996823,108.99237095,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743014907,108.99237095,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743014907,108.99238908,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743051075,108.99238908,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743051075,108.992407211,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743087244,108.992407211,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743087244,108.992425341,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743123412,108.992425341,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743123412,108.992443472,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74315958,108.992443472,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74315958,108.992461602,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743177664,108.992461602,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743177664,108.992479733,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743213832,108.992479733,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743213832,108.992497863,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74325,108.992497863,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74325,108.992515994,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743286169,108.992515994,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743286169,108.992534124,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743322337,108.992534124,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743322337,108.992552255,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743340421,108.992552255,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743340421,108.992570385,0.00,1.00
