ComponentId,Latitude,Longitude,Depth
1,1.154774306872072,103.8925096775913,2.5
1,1.15401232206715,103.8932144045243,2.5
1,1.153271190750749,103.8941053810807,2.5
1,1.152280869496299,103.8946779493046,2.5
1,1.151771102332705,103.8944946310843,2.5
1,1.150751852367191,103.8949661359585,2.5
1,1.150870459527217,103.8955760758789,2.5
1,1.150932217298145,103.8955528381855,2.5
1,1.150984088756571,103.8955692575061,2.5
1,1.151109983113866,103.8956045979238,2.5
1,1.151354793836852,103.8954881515929,2.5
1,1.151421270509583,103.8953756519712,2.5
1,1.151505656090789,103.8951991567494,2.5
1,1.151587078884659,103.8951641634139,2.5
1,1.152068859558654,103.8950671222365,2.5
1,1.1522599887731,103.8950452418257,2.5
1,1.152674950510575,103.8951749935555,2.5
1,1.15274888239546,103.8951742234652,2.5
1,1.152993731634204,103.8950339665136,2.5
1,1.153866465931927,103.8946770384744,2.5
1,1.154018796143168,103.8946099892695,2.5
1,1.154187902363908,103.8945739070918,2.5
1,1.154311664699189,103.8946018484046,2.5
1,1.154490949573687,103.894706423228,2.5
1,1.154531596510622,103.8947685474915,2.5
1,1.154573168735775,103.8948076799317,2.5
1,1.154661084608571,103.894821068863,2.5
1,1.154717366528842,103.894817605861,2.5
1,1.15484954007357,103.8947307913513,2.5
1,1.154891448730453,103.8946737779079,2.5
1,1.15497819796332,103.8944711157723,2.5
1,1.154998128969459,103.8944199001212,2.5
1,1.155088677891785,103.8943360614261,2.5
1,1.155440287785039,103.8939850107766,2.5
1,1.155647505439231,103.8938199457891,2.5
1,1.155778917084679,103.8938446342803,2.5
2,1.154070481,103.904302283,2.5
2,1.1540743,103.904266343,2.5
2,1.154103984,103.904158524,2.5
2,1.154115723,103.904104614,2.5
2,1.154130957,103.904068674,2.5
2,1.154140972,103.904050704,2.5
2,1.154197842,103.903996794,2.5
2,1.154244557,103.903942884,2.5
2,1.154286065,103.903872745,2.5
2,1.154304152,103.903859159,2.5
2,1.154542576,103.903799125,2.5
2,1.154579432,103.903781155,2.5
2,1.154618388,103.903745215,2.5
2,1.154691769,103.903619425,2.5
2,1.154703365,103.903583485,2.5
2,1.154716253,103.903493636,2.5
2,1.154730253,103.903457696,2.5
2,1.154751303,103.903421756,2.5
2,1.154755829,103.903403786,2.5
2,1.154754757,103.903385816,2.5
2,1.154746436,103.903349876,2.5
2,1.154724651,103.903295966,2.5
2,1.154708231,103.903277996,2.5
2,1.154683986,103.903259789,2.5
2,1.154629724,103.903234133,2.5
2,1.154466938,103.903186824,2.5
2,1.154430764,103.903156752,2.5
2,1.154407995,103.903116267,2.5
2,1.154402953,103.903098297,2.5
2,1.154401311,103.903080327,2.5
2,1.154407078,103.903044387,2.5
2,1.154422237,103.903008447,2.5
2,1.154448851,103.902971169,2.5
2,1.154466938,103.902957111,2.5
2,1.154742546,103.902882657,2.5
2,1.154810597,103.902857921,2.5
2,1.154859595,103.902828747,2.5
2,1.154925959,103.902756868,2.5
2,1.154982666,103.902667018,2.5
2,1.155001871,103.902631078,2.5
2,1.155035161,103.902541228,2.5
2,1.155042291,103.902505288,2.5
2,1.155050352,103.902433409,2.5
2,1.155057868,103.902397469,2.5
2,1.155160791,103.90207401,2.5
2,1.155182292,103.90198416,2.5
2,1.155195806,103.90191228,2.5
2,1.155198946,103.90187634,2.5
2,1.15520165,103.901696641,2.5
2,1.155193551,103.901481001,2.5
2,1.155198152,103.901445061,2.5
2,1.155219681,103.901373182,2.5
2,1.155225674,103.901337242,2.5
2,1.155223816,103.901301302,2.5
2,1.155215284,103.901265362,2.5
2,1.15509853,103.900959873,2.5
2,1.155071733,103.900870023,2.5
2,1.155043336,103.900798143,2.5
2,1.155034401,103.900762203,2.5
2,1.155034644,103.900726263,2.5
2,1.155043178,103.900690323,2.5
2,1.155089955,103.900564534,2.5
2,1.155180018,103.900366864,2.5
2,1.155239025,103.900205135,2.5
2,1.155278126,103.900133255,2.5
2,1.155413676,103.899917616,2.5
2,1.155433117,103.899881676,2.5
2,1.155489581,103.899755886,2.5
2,1.155580841,103.899612126,2.5
2,1.155813831,103.899324607,2.5
2,1.155849546,103.899270697,2.5
2,1.155858664,103.899252727,2.5
2,1.155869557,103.899216788,2.5
2,1.155875596,103.899126938,2.5
2,1.155883645,103.899090998,2.5
2,1.155901401,103.899055058,2.5
2,1.155936424,103.899001148,2.5
2,1.155956155,103.898947238,2.5
2,1.155962709,103.898911298,2.5
2,1.155964079,103.898857389,2.5
2,1.155976691,103.898803479,2.5
2,1.156036067,103.898677689,2.5
2,1.156058031,103.898641749,2.5
2,1.156090747,103.898605809,2.5
2,1.156248472,103.89848002,2.5
2,1.156305653,103.89842611,2.5
2,1.156346456,103.8983722,2.5
2,1.156447443,103.89821047,2.5
2,1.156478851,103.898174531,2.5
2,1.156544432,103.898120621,2.5
2,1.156709765,103.898007599,2.5
2,1.15674594,103.89796823,2.5
2,1.156767803,103.897922951,2.5
2,1.156782115,103.897904981,2.5
2,1.156782115,103.897887011,2.5
2,1.156800202,103.897904981,2.5
2,1.156818289,103.897904981,2.5
2,1.156836377,103.897922951,2.5
2,1.156872551,103.897958891,2.5
2,1.156890638,103.897958891,2.5
2,1.156908726,103.897976861,2.5
2,1.156926813,103.897994831,2.5
2,1.1569449,103.897994831,2.5
2,1.156962988,103.898012801,2.5
2,1.156981075,103.898030771,2.5
2,1.156999162,103.898030771,2.5
2,1.15701725,103.898048741,2.5
2,1.157035337,103.898066711,2.5
2,1.157107686,103.898066711,2.5
2,1.157107686,103.898048741,2.5
2,1.157143861,103.898048741,2.5
2,1.157143861,103.898030771,2.5
2,1.157180036,103.898030771,2.5
2,1.157180036,103.898012801,2.5
2,1.15721621,103.898012801,2.5
2,1.15721621,103.897994831,2.5
2,1.157252385,103.897994831,2.5
2,1.157252385,103.897976861,2.5
2,1.157288559,103.897976861,2.5
2,1.157288559,103.897958891,2.5
2,1.157342821,103.897958891,2.5
2,1.157342821,103.897940921,2.5
2,1.157378996,103.897940921,2.5
2,1.157378996,103.897922951,2.5
2,1.157415171,103.897922951,2.5
2,1.157415171,103.897904981,2.5
2,1.157451345,103.897904981,2.5
2,1.157451345,103.897887011,2.5
2,1.15748752,103.897887011,2.5
2,1.15748752,103.897869041,2.5
2,1.157523695,103.897869041,2.5
2,1.157523695,103.897851071,2.5
2,1.157559869,103.897851071,2.5
2,1.157559869,103.897833101,2.5
2,1.157596044,103.897833101,2.5
2,1.157596044,103.897815132,2.5
2,1.157614131,103.897815132,2.5
2,1.157614131,103.897797162,2.5
2,1.157650306,103.897797162,2.5
2,1.157650306,103.897779192,2.5
2,1.15768648,103.897779192,2.5
2,1.15768648,103.897761222,2.5
2,1.157722655,103.897761222,2.5
2,1.157722655,103.897743252,2.5
2,1.157740742,103.897761222,2.5
2,1.157740742,103.897806796,2.5
2,1.157734634,103.897795673,2.5
2,1.157314161,103.898026034,2.5
2,1.157306228,103.898010165,2.5
2,1.157234111,103.898048395,2.5
2,1.157234832,103.898048395,2.5
2,1.157243486,103.898065346,2.5
2,1.157131023,103.898128523,2.5
2,1.157117818,103.898099906,2.5
2,1.157044089,103.898137328,2.5
2,1.157060595,103.898163744,2.5
2,1.156846013,103.898269406,2.5
2,1.15696816,103.898459818,2.5
2,1.156744773,103.898638124,2.5
2,1.156698556,103.898565481,2.5
2,1.156656158,103.898595216,2.5
2,1.156684329,103.898637481,2.5
2,1.156724332,103.898618884,2.5
2,1.156736164,103.898641426,2.5
2,1.156523755,103.898824574,2.5
2,1.156523192,103.898825137,2.5
2,1.156515867,103.898843734,2.5
2,1.156500092,103.898829646,2.5
2,1.156509106,103.898797524,2.5
2,1.156445898,103.89876727,2.5
2,1.15629514,103.898998406,2.5
2,1.15634906,103.899029224,2.5
2,1.156378772,103.898979695,2.5
2,1.156471208,103.898935669,2.5
2,1.156303943,103.899323098,2.5
2,1.156180695,103.899196523,2.5
2,1.156146582,103.899220737,2.5
2,1.156155386,103.899232844,2.5
2,1.156128975,103.899262562,2.5
2,1.156144381,103.899281273,2.5
2,1.156176294,103.899241649,2.5
2,1.156288537,103.899359419,2.5
2,1.156077255,103.899871221,2.5
2,1.155787843,103.8998349,2.5
2,1.155735023,103.899755653,2.5
2,1.155605173,103.899851409,2.5
2,1.155638186,103.899896536,2.5
2,1.1556767,103.899867919,2.5
2,1.155862672,103.899895435,2.5
2,1.155864873,103.899924052,2.5
2,1.155839563,103.899927354,2.5
2,1.155836262,103.899984588,2.5
2,1.155912191,103.899983487,2.5
2,1.155915493,103.899931757,2.5
2,1.155876978,103.899927354,2.5
2,1.15588138,103.899894335,2.5
2,1.156059649,103.899914146,2.5
2,1.155912191,103.900261952,2.5
2,1.15588248,103.900676897,2.5
2,1.155843965,103.900728627,2.5
2,1.155267445,103.900614641,2.5
2,1.1553491,103.900438523,2.5
2,1.155343818,103.900422674,2.5
2,1.155389596,103.900308206,2.5
2,1.155341177,103.900281791,2.5
2,1.155290998,103.900427957,2.5
2,1.155275152,103.900421793,2.5
2,1.1551431,103.900728214,2.5
2,1.155203844,103.900756391,2.5
2,1.155254904,103.900657773,2.5
2,1.155823164,103.90077246,2.5
2,1.1553995,103.90144936,2.5
2,1.155469652,103.901928142,2.5
2,1.15536236,103.902354644,2.5
2,1.155293584,103.90344979,2.5
2,1.155325221,103.903779985,2.5
2,1.155079001,103.903779985,2.5
2,1.155079001,103.903876292,2.5
2,1.155255069,103.903877668,2.5
2,1.15525782,103.90390656,2.5
2,1.15516841,103.903902433,2.5
2,1.155167035,103.904013873,2.5
2,1.155249567,103.904012498,2.5
2,1.155250942,103.904033135,2.5
2,1.155084503,103.904026256,2.5
2,1.155084503,103.904133569,2.5
2,1.155352732,103.904137696,2.5
2,1.155285331,103.904689397,2.5
2,1.155286706,103.904689397,2.5
2,1.156122066,103.905210029,2.5
2,1.156705559,103.904924521,2.5
2,1.156705559,103.904920323,2.5
2,1.15712114,103.904496259,2.5
2,1.15727226,103.904534047,2.5
2,1.157591292,103.904072196,2.5
2,1.157692039,103.903921045,2.5
2,1.157740742,103.903885667,2.5
2,1.157740742,103.903960854,2.5
2,1.157722655,103.903960854,2.5
2,1.157722655,103.903978824,2.5
2,1.157704568,103.903978824,2.5
2,1.157704568,103.904014764,2.5
2,1.15768648,103.904014764,2.5
2,1.15768648,103.904032734,2.5
2,1.157668393,103.904032734,2.5
2,1.157668393,103.904068674,2.5
2,1.157650306,103.904068674,2.5
2,1.157650306,103.904104614,2.5
2,1.157632218,103.904104614,2.5
2,1.157632218,103.904122584,2.5
2,1.157614131,103.904122584,2.5
2,1.157614131,103.904158524,2.5
2,1.157596044,103.904158524,2.5
2,1.157596044,103.904176494,2.5
2,1.157577956,103.904176494,2.5
2,1.157577956,103.904212434,2.5
2,1.157559869,103.904212434,2.5
2,1.157559869,103.904230403,2.5
2,1.157541782,103.904230403,2.5
2,1.157541782,103.904266343,2.5
2,1.157523695,103.904266343,2.5
2,1.157523695,103.904284313,2.5
2,1.157505607,103.904284313,2.5
2,1.157505607,103.904302283,2.5
2,1.15748752,103.904302283,2.5
2,1.15748752,103.904338223,2.5
2,1.157469433,103.904338223,2.5
2,1.157469433,103.904356193,2.5
2,1.157451345,103.904356193,2.5
2,1.157451345,103.904392133,2.5
2,1.157433258,103.904392133,2.5
2,1.157433258,103.904410103,2.5
2,1.157415171,103.904410103,2.5
2,1.157415171,103.904428073,2.5
2,1.157397083,103.904428073,2.5
2,1.157397083,103.904464013,2.5
2,1.157378996,103.904464013,2.5
2,1.157378996,103.904481983,2.5
