ComponentId,Layer,Type,Latitude,Longitude,Value1,Value2
53,Isobaths,Isobath_shell,1.651571378,101.5213765,1,1
53,Isobaths,Isobath_shell,1.651571378,101.5206755,1,1
53,Isobaths,Isobath_shell,1.651589466,101.5206755,1,1
53,Isobaths,Isobath_shell,1.651589466,101.5206396,1,1
53,Isobaths,Isobath_shell,1.651607553,101.5206396,1,1
53,Isobaths,Isobath_shell,1.651607553,101.5206036,1,1
53,Isobaths,Isobath_shell,1.65162564,101.5206036,1,1
53,Isobaths,Isobath_shell,1.65162564,101.5205677,1,1
53,Isobaths,Isobath_shell,1.651643727,101.5205677,1,1
53,Isobaths,Isobath_shell,1.651643727,101.5205317,1,1
53,Isobaths,Isobath_shell,1.651661815,101.5205317,1,1
53,Isobaths,Isobath_shell,1.651661815,101.5204778,1,1
53,Isobaths,Isobath_shell,1.651679902,101.5204778,1,1
53,Isobaths,Isobath_shell,1.651679902,101.5204419,1,1
53,Isobaths,Isobath_shell,1.651697989,101.5204419,1,1
53,Isobaths,Isobath_shell,1.651697989,101.5204059,1,1
53,Isobaths,Isobath_shell,1.651716076,101.5204059,1,1
53,Isobaths,Isobath_shell,1.651716076,101.52037,1,1
53,Isobaths,Isobath_shell,1.651734164,101.52037,1,1
53,Isobaths,Isobath_shell,1.651734164,101.520334,1,1
53,Isobaths,Isobath_shell,1.651752251,101.520334,1,1
53,Isobaths,Isobath_shell,1.651752251,101.5202981,1,1
53,Isobaths,Isobath_shell,1.651770338,101.5202981,1,1
53,Isobaths,Isobath_shell,1.651770338,101.5202621,1,1
53,Isobaths,Isobath_shell,1.651788425,101.5202621,1,1
53,Isobaths,Isobath_shell,1.651788425,101.5202082,1,1
53,Isobaths,Isobath_shell,1.651806513,101.5202082,1,1
53,Isobaths,Isobath_shell,1.651806513,101.5201722,1,1
53,Isobaths,Isobath_shell,1.6518246,101.5201722,1,1
53,Isobaths,Isobath_shell,1.6518246,101.5201363,1,1
53,Isobaths,Isobath_shell,1.651842687,101.5201363,1,1
53,Isobaths,Isobath_shell,1.651842687,101.5201003,1,1
53,Isobaths,Isobath_shell,1.651860774,101.5201003,1,1
53,Isobaths,Isobath_shell,1.651860774,101.5200644,1,1
53,Isobaths,Isobath_shell,1.651878861,101.5200644,1,1
53,Isobaths,Isobath_shell,1.651878861,101.5200284,1,1
53,Isobaths,Isobath_shell,1.651896949,101.5200284,1,1
53,Isobaths,Isobath_shell,1.651896949,101.5199925,1,1
53,Isobaths,Isobath_shell,1.651915036,101.5199925,1,1
53,Isobaths,Isobath_shell,1.651915036,101.5199386,1,1
53,Isobaths,Isobath_shell,1.651933123,101.5199386,1,1
53,Isobaths,Isobath_shell,1.651933123,101.5199026,1,1
53,Isobaths,Isobath_shell,1.65195121,101.5199026,1,1
53,Isobaths,Isobath_shell,1.65195121,101.5198667,1,1
53,Isobaths,Isobath_shell,1.651969298,101.5198667,1,1
53,Isobaths,Isobath_shell,1.651969298,101.5198307,1,1
53,Isobaths,Isobath_shell,1.651987385,101.5198307,1,1
53,Isobaths,Isobath_shell,1.651987385,101.5197948,1,1
53,Isobaths,Isobath_shell,1.652005472,101.5197948,1,1
53,Isobaths,Isobath_shell,1.652005472,101.5197588,1,1
53,Isobaths,Isobath_shell,1.652023559,101.5197588,1,1
53,Isobaths,Isobath_shell,1.652023559,101.5197049,1,1
53,Isobaths,Isobath_shell,1.652041647,101.5197049,1,1
53,Isobaths,Isobath_shell,1.652041647,101.519669,1,1
53,Isobaths,Isobath_shell,1.652059734,101.519669,1,1
53,Isobaths,Isobath_shell,1.652059734,101.519633,1,1
53,Isobaths,Isobath_shell,1.652077821,101.519633,1,1
53,Isobaths,Isobath_shell,1.652077821,101.5195971,1,1
53,Isobaths,Isobath_shell,1.652095908,101.5195971,1,1
53,Isobaths,Isobath_shell,1.652095908,101.5195611,1,1
53,Isobaths,Isobath_shell,1.652113996,101.5195611,1,1
53,Isobaths,Isobath_shell,1.652113996,101.5195252,1,1
53,Isobaths,Isobath_shell,1.652132083,101.5195252,1,1
53,Isobaths,Isobath_shell,1.652132083,101.5194892,1,1
53,Isobaths,Isobath_shell,1.65215017,101.5194892,1,1
53,Isobaths,Isobath_shell,1.65215017,101.5194533,1,1
53,Isobaths,Isobath_shell,1.652168257,101.5194533,1,1
53,Isobaths,Isobath_shell,1.652168257,101.5194173,1,1
53,Isobaths,Isobath_shell,1.652186345,101.5194173,1,1
53,Isobaths,Isobath_shell,1.652186345,101.5193814,1,1
53,Isobaths,Isobath_shell,1.652204432,101.5193814,1,1
53,Isobaths,Isobath_shell,1.652204432,101.5193454,1,1
53,Isobaths,Isobath_shell,1.652222519,101.5193454,1,1
53,Isobaths,Isobath_shell,1.652222519,101.5193095,1,1
53,Isobaths,Isobath_shell,1.652240606,101.5193095,1,1
53,Isobaths,Isobath_shell,1.652240606,101.5192735,1,1
53,Isobaths,Isobath_shell,1.652258693,101.5192735,1,1
53,Isobaths,Isobath_shell,1.652258693,101.5192376,1,1
53,Isobaths,Isobath_shell,1.652276781,101.5192376,1,1
53,Isobaths,Isobath_shell,1.652276781,101.5192016,1,1
53,Isobaths,Isobath_shell,1.652294868,101.5192016,1,1
53,Isobaths,Isobath_shell,1.652294868,101.5191657,1,1
53,Isobaths,Isobath_shell,1.652312955,101.5191657,1,1
53,Isobaths,Isobath_shell,1.652312955,101.5191297,1,1
53,Isobaths,Isobath_shell,1.652331042,101.5191297,1,1
53,Isobaths,Isobath_shell,1.652331042,101.5190938,1,1
53,Isobaths,Isobath_shell,1.65234913,101.5190938,1,1
53,Isobaths,Isobath_shell,1.65234913,101.5190578,1,1
53,Isobaths,Isobath_shell,1.652367217,101.5190578,1,1
53,Isobaths,Isobath_shell,1.652367217,101.5190219,1,1
53,Isobaths,Isobath_shell,1.652385304,101.5190219,1,1
53,Isobaths,Isobath_shell,1.652385304,101.5189859,1,1
53,Isobaths,Isobath_shell,1.652403391,101.5189859,1,1
53,Isobaths,Isobath_shell,1.652403391,101.51895,1,1
53,Isobaths,Isobath_shell,1.652421479,101.51895,1,1
53,Isobaths,Isobath_shell,1.652421479,101.518914,1,1
53,Isobaths,Isobath_shell,1.652439566,101.518914,1,1
53,Isobaths,Isobath_shell,1.652439566,101.5188781,1,1
53,Isobaths,Isobath_shell,1.652457653,101.5188781,1,1
53,Isobaths,Isobath_shell,1.652457653,101.5188422,1,1
53,Isobaths,Isobath_shell,1.65247574,101.5188422,1,1
53,Isobaths,Isobath_shell,1.65247574,101.5188062,1,1
53,Isobaths,Isobath_shell,1.652493828,101.5188062,1,1
53,Isobaths,Isobath_shell,1.652493828,101.5187703,1,1
53,Isobaths,Isobath_shell,1.652511915,101.5187703,1,1
53,Isobaths,Isobath_shell,1.652511915,101.5187523,1,1
53,Isobaths,Isobath_shell,1.652530002,101.5187523,1,1
53,Isobaths,Isobath_shell,1.652530002,101.5187163,1,1
53,Isobaths,Isobath_shell,1.652548089,101.5187163,1,1
53,Isobaths,Isobath_shell,1.652548089,101.5186804,1,1
53,Isobaths,Isobath_shell,1.652566177,101.5186804,1,1
53,Isobaths,Isobath_shell,1.652566177,101.5186444,1,1
53,Isobaths,Isobath_shell,1.652584264,101.5186444,1,1
53,Isobaths,Isobath_shell,1.652584264,101.5186085,1,1
53,Isobaths,Isobath_shell,1.652602351,101.5186085,1,1
53,Isobaths,Isobath_shell,1.652602351,101.5185725,1,1
53,Isobaths,Isobath_shell,1.652620438,101.5185725,1,1
53,Isobaths,Isobath_shell,1.652620438,101.5185366,1,1
53,Isobaths,Isobath_shell,1.652638525,101.5185366,1,1
53,Isobaths,Isobath_shell,1.652638525,101.5185006,1,1
53,Isobaths,Isobath_shell,1.652656613,101.5185006,1,1
53,Isobaths,Isobath_shell,1.652656613,101.5184647,1,1
53,Isobaths,Isobath_shell,1.6526747,101.5184647,1,1
53,Isobaths,Isobath_shell,1.6526747,101.5184287,1,1
53,Isobaths,Isobath_shell,1.652692787,101.5184287,1,1
53,Isobaths,Isobath_shell,1.652692787,101.5183928,1,1
53,Isobaths,Isobath_shell,1.652710874,101.5183928,1,1
53,Isobaths,Isobath_shell,1.652710874,101.5183568,1,1
53,Isobaths,Isobath_shell,1.652728962,101.5183568,1,1
53,Isobaths,Isobath_shell,1.652728962,101.5183209,1,1
53,Isobaths,Isobath_shell,1.652747049,101.5183209,1,1
53,Isobaths,Isobath_shell,1.652747049,101.518285,1,1
53,Isobaths,Isobath_shell,1.652765136,101.518285,1,1
53,Isobaths,Isobath_shell,1.652765136,101.518249,1,1
53,Isobaths,Isobath_shell,1.652783223,101.518249,1,1
53,Isobaths,Isobath_shell,1.652783223,101.5182131,1,1
53,Isobaths,Isobath_shell,1.652801311,101.5182131,1,1
53,Isobaths,Isobath_shell,1.652801311,101.5181771,1,1
53,Isobaths,Isobath_shell,1.652819398,101.5181771,1,1
53,Isobaths,Isobath_shell,1.652819398,101.5181412,1,1
53,Isobaths,Isobath_shell,1.652837485,101.5181412,1,1
53,Isobaths,Isobath_shell,1.652837485,101.5181052,1,1
53,Isobaths,Isobath_shell,1.652855572,101.5181052,1,1
53,Isobaths,Isobath_shell,1.652855572,101.5180872,1,1
53,Isobaths,Isobath_shell,1.65287366,101.5180872,1,1
53,Isobaths,Isobath_shell,1.65287366,101.5180513,1,1
53,Isobaths,Isobath_shell,1.652891747,101.5180513,1,1
53,Isobaths,Isobath_shell,1.652891747,101.5180153,1,1
53,Isobaths,Isobath_shell,1.652909834,101.5180153,1,1
53,Isobaths,Isobath_shell,1.652909834,101.5179794,1,1
53,Isobaths,Isobath_shell,1.652927921,101.5179794,1,1
53,Isobaths,Isobath_shell,1.652927921,101.5179434,1,1
53,Isobaths,Isobath_shell,1.652946009,101.5179434,1,1
53,Isobaths,Isobath_shell,1.652946009,101.5179075,1,1
53,Isobaths,Isobath_shell,1.652964096,101.5179075,1,1
53,Isobaths,Isobath_shell,1.652964096,101.5178715,1,1
53,Isobaths,Isobath_shell,1.652982183,101.5178715,1,1
53,Isobaths,Isobath_shell,1.652982183,101.5178356,1,1
53,Isobaths,Isobath_shell,1.65300027,101.5178356,1,1
53,Isobaths,Isobath_shell,1.65300027,101.5177996,1,1
53,Isobaths,Isobath_shell,1.653018357,101.5177996,1,1
53,Isobaths,Isobath_shell,1.653018357,101.5177637,1,1
53,Isobaths,Isobath_shell,1.653036445,101.5177637,1,1
53,Isobaths,Isobath_shell,1.653036445,101.5177278,1,1
53,Isobaths,Isobath_shell,1.653054532,101.5177278,1,1
53,Isobaths,Isobath_shell,1.653054532,101.5176918,1,1
53,Isobaths,Isobath_shell,1.653072619,101.5176918,1,1
53,Isobaths,Isobath_shell,1.653072619,101.5176559,1,1
53,Isobaths,Isobath_shell,1.653090706,101.5176559,1,1
53,Isobaths,Isobath_shell,1.653090706,101.5176199,1,1
53,Isobaths,Isobath_shell,1.653108794,101.5176199,1,1
53,Isobaths,Isobath_shell,1.653108794,101.517584,1,1
53,Isobaths,Isobath_shell,1.653126881,101.517584,1,1
53,Isobaths,Isobath_shell,1.653126881,101.517548,1,1
53,Isobaths,Isobath_shell,1.653144968,101.517548,1,1
53,Isobaths,Isobath_shell,1.653144968,101.5175121,1,1
53,Isobaths,Isobath_shell,1.653163055,101.5175121,1,1
53,Isobaths,Isobath_shell,1.653163055,101.5174761,1,1
53,Isobaths,Isobath_shell,1.653181143,101.5174761,1,1
53,Isobaths,Isobath_shell,1.653181143,101.5174402,1,1
