ComponentId,Layer,Type,Latitude,Longitude,Value1,Value2
0,"Isobaths",Isobath_shell,-7.743172732,108.998517214,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743172732,108.998480953,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743161103,108.998462823,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74315958,108.998461327,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743158299,108.998462823,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743158299,108.998499084,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743141496,108.998517214,0.00,1.00
0,"Isobaths",Isobath_shell,-7.743141496,108.998535345,0.00,1.00
0,"Isobaths",Isobath_shell,-7.74315958,108.998535345,0.00,1.00
1,"Isobaths",Isobath_shell,-7.745763689,108.993839539,1.00,2.00
1,"Isobaths",Isobath_shell,-7.745763689,108.993694494,1.00,2.00
1,"Isobaths",Isobath_shell,-7.745745605,108.993709737,1.00,2.00
1,"Isobaths",Isobath_shell,-7.745737408,108.993712625,1.00,2.00
1,"Isobaths",Isobath_shell,-7.745727521,108.99373252,1.00,2.00
1,"Isobaths",Isobath_shell,-7.745687225,108.993767017,1.00,2.00
1,"Isobaths",Isobath_shell,-7.745687225,108.993839539,1.00,2.00
2,"Isobaths",Isobath_shell,-7.745655184,108.993884231,1.00,2.00
2,"Isobaths",Isobath_shell,-7.745655184,108.993824088,1.00,2.00
2,"Isobaths",Isobath_shell,-7.7456371,108.993801509,1.00,2.00
2,"Isobaths",Isobath_shell,-7.745622379,108.993821408,1.00,2.00
2,"Isobaths",Isobath_shell,-7.745616768,108.993839539,1.00,2.00
2,"Isobaths",Isobath_shell,-7.74562793,108.9938758,1.00,2.00
2,"Isobaths",Isobath_shell,-7.7456371,108.993884231,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743417732,108.998535345,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743417732,108.998517214,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743376589,108.998448589,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743358505,108.998428897,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743309235,108.998390301,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743231916,108.998350163,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743177664,108.998278406,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743109393,108.998227126,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743107148,108.998190865,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743105327,108.998172734,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743087243,108.998190865,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743087243,108.998426562,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743105327,108.998426562,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743105327,108.998462823,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743123412,108.998462823,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743123412,108.998499084,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743141496,108.998499084,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743141496,108.998517214,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743158299,108.998499084,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743158299,108.998462823,1.00,2.00
3,"Isobaths",Isobath_shell,-7.74315958,108.998461327,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743161103,108.998462823,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743172732,108.998480953,1.00,2.00
3,"Isobaths",Isobath_shell,-7.743172732,108.998517214,1.00,2.00
3,"Isobaths",Isobath_shell,-7.74315958,108.998535345,1.00,2.00
4,"Isobaths",Isobath_shell,-7.745763689,108.993694494,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745763689,108.993658233,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745745605,108.993658233,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745745605,108.993640103,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745727521,108.993658233,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745729646,108.993676364,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745691353,108.993693454,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745673268,108.993721013,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745655184,108.993734624,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745600932,108.993753792,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745582848,108.993771865,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745568846,108.993803278,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745564142,108.993839539,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745576915,108.993912061,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745598588,108.993930191,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745602494,108.993948322,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745619016,108.993962949,2.00,3.00
4,"Isobaths",Isobath_shell,-7.7456371,108.993962949,2.00,3.00
4,"Isobaths",Isobath_shell,-7.7456371,108.993930191,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745655184,108.993912061,2.00,3.00
4,"Isobaths",Isobath_shell,-7.745655184,108.993884231,2.00,3.00
4,"Isobaths",Isobath_shell,-7.7456371,108.993884231,2.00,3.00
