waktu,heading,lat_chute,long_chute,wind speed,wind direction
15:25:39,284,1.699960731,101.5376144,0.9,262
15:25:41,284,1.699960731,101.5376154,0.6,277
15:25:44,284,1.699959731,101.5376174,0.5,274
15:25:46,284,1.699958731,101.5376184,0.2,271
15:25:48,284,1.699958731,101.5376204,0,272
15:25:50,283,1.699959023,101.5376202,0.1,237
15:25:52,283,1.699958023,101.5376212,0.1,229
15:25:55,283,1.699958023,101.5376222,0,215
15:25:57,283,1.699957023,101.5376232,0,271
15:25:59,283,1.699957023,101.5376242,0.3,272
15:26:01,283,1.699956023,101.5376242,3.6,262
15:26:03,283,1.699956023,101.5376252,2.3,273
15:26:06,283,1.699956023,101.5376262,1.5,250
15:26:08,282,1.699955295,101.5376249,2.5,273
15:26:10,282,1.699953295,101.5376259,1.7,282
15:26:12,282,1.699953295,101.5376259,0.8,272
15:26:14,281,1.699952545,101.5376257,1.9,280
15:26:17,281,1.699952545,101.5376277,2.1,285
15:26:19,281,1.699951545,101.5376287,2.2,269
15:26:21,281,1.699950545,101.5376297,2.4,268
15:26:23,281,1.699950545,101.5376307,1.2,288
15:26:25,280,1.699951773,101.5376315,0.9,277
15:26:28,280,1.699951773,101.5376325,0.6,282
15:26:30,280,1.699951773,101.5376335,0.4,303
15:26:32,280,1.699951773,101.5376345,0.1,278
15:26:34,279,1.69995098,101.5376342,0,295
15:26:36,279,1.69995098,101.5376342,0.3,273
15:26:38,278,1.699951166,101.537634,0.1,279
15:26:41,278,1.699951166,101.537635,0,261
15:26:43,278,1.699952166,101.537637,0,339
15:26:45,278,1.699953166,101.537638,0,345
15:26:47,277,1.69995333,101.5376378,0.1,310
15:26:49,277,1.69995433,101.5376388,0.1,26
15:26:51,277,1.69995433,101.5376398,0.2,358
15:26:54,276,1.699954472,101.5376395,0,0
15:26:56,275,1.699955592,101.5376403,0,24
15:26:58,275,1.699955592,101.5376413,0.1,95
15:27:00,275,1.699955592,101.5376423,0,134
15:27:02,274,1.69995669,101.537643,0,87
15:27:05,274,1.69995769,101.537643,0.5,116
15:27:07,274,1.69995769,101.537644,1.2,186
15:27:09,274,1.69995769,101.537645,1.3,164
15:27:11,274,1.69995869,101.537646,1.2,156
15:27:13,273,1.699958767,101.5376458,1,162
15:27:15,272,1.699958821,101.5376455,1.2,199
15:27:18,272,1.699958821,101.5376475,1.3,213
15:27:20,272,1.699957821,101.5376485,1,168
15:27:22,272,1.699957821,101.5376485,0.9,13
15:27:24,271,1.699958854,101.5376483,0.7,344
15:27:26,271,1.699959854,101.5376493,1.2,33
15:27:28,270,1.699960865,101.537649,1.1,32
15:27:31,270,1.699960865,101.537649,0.9,77
15:27:33,269,1.699960854,101.5376487,0.7,102
15:27:35,269,1.699961854,101.5376497,1.8,42
15:27:37,268,1.699962821,101.5376495,1.5,143
15:27:39,268,1.699963821,101.5376505,2.3,124
15:27:42,268,1.699964821,101.5376505,1.5,107
15:27:44,268,1.699965821,101.5376525,0.9,123
15:27:46,267,1.699966767,101.5376512,1.5,354
15:27:48,267,1.699967767,101.5376522,1.9,212
15:27:50,266,1.69996869,101.537651,1.6,179
15:27:53,266,1.69996969,101.53765,1.7,186
15:27:55,265,1.699970592,101.5376487,1.6,229
15:27:57,265,1.699972592,101.5376487,2.2,51
15:27:59,265,1.699973592,101.5376477,2.2,115
15:28:01,264,1.699975472,101.5376475,1.9,327
15:28:04,264,1.699976472,101.5376475,2.2,82
15:28:06,263,1.69997733,101.5376472,1.9,177
15:28:08,263,1.69997933,101.5376482,2.8,73
15:28:10,262,1.699979166,101.537648,1.8,190
15:28:12,261,1.69997998,101.5376478,1.6,332
15:28:15,261,1.69998198,101.5376468,1.8,164
15:28:17,261,1.69998398,101.5376468,1.4,196
15:28:19,260,1.699984773,101.5376445,1.3,265
15:28:21,260,1.699986773,101.5376435,1.1,260
15:28:23,259,1.699987545,101.5376423,1.1,302
15:28:26,259,1.699989545,101.5376413,0.6,302
15:28:28,258,1.699990295,101.5376391,0.8,31
15:28:30,258,1.699991295,101.5376371,0.8,101
15:28:32,257,1.699993023,101.5376348,0.7,290
15:28:34,257,1.699994023,101.5376328,1.4,149
15:28:37,256,1.699993731,101.5376286,1.1,113
15:28:39,255,1.699994416,101.5376244,1.2,110
15:28:41,255,1.699995416,101.5376214,1.2,96
15:28:43,254,1.699995081,101.5376172,0.9,93
15:28:45,253,1.699995725,101.537613,1.1,351
15:28:48,252,1.699996348,101.5376078,1.1,341
15:28:50,252,1.699996348,101.5376038,1.1,313
15:28:52,251,1.69999695,101.5375986,1.3,308
15:28:54,250,1.699996531,101.5375944,1.3,295
15:28:56,249,1.699996092,101.5375892,1.2,274
15:28:59,249,1.699996092,101.5375852,1.4,23
15:29:01,249,1.699995092,101.5375812,1.1,18
15:29:03,248,1.699993632,101.5375771,1,339
15:29:05,248,1.699990632,101.5375741,0.9,8
15:29:07,249,1.699987092,101.5375732,1,21
15:29:09,249,1.699981092,101.5375722,1.1,157
15:29:12,250,1.699974531,101.5375724,1.1,239
15:29:14,251,1.69996795,101.5375716,1,226
15:29:16,251,1.69996095,101.5375696,1.3,199
15:29:18,253,1.699954725,101.53757,1.5,99
15:29:20,254,1.699948081,101.5375682,1.1,209
15:29:23,255,1.699940416,101.5375664,1.9,329
15:29:25,255,1.699934416,101.5375634,2,271
15:29:27,256,1.699927731,101.5375606,2.2,193
15:29:29,257,1.699921023,101.5375578,1.8,82
15:29:31,258,1.699915295,101.5375561,1.7,292
15:29:34,259,1.699909545,101.5375533,1.8,157
15:29:36,259,1.699903545,101.5375493,1.6,45
15:29:38,260,1.699898773,101.5375475,1.2,32
15:29:40,260,1.699893773,101.5375445,0.9,18
15:29:42,260,1.699889773,101.5375425,0.7,29
15:29:44,260,1.699886773,101.5375395,1,70
15:29:47,261,1.69988298,101.5375388,1,85
15:29:49,261,1.69987998,101.5375368,0.8,47
15:29:51,261,1.69987598,101.5375338,0.7,193
15:29:53,261,1.69987298,101.5375328,0.9,119
15:29:55,261,1.69986998,101.5375308,1.2,86
15:29:57,261,1.69986798,101.5375288,1.9,284
15:30:00,261,1.69986498,101.5375268,1.3,343
15:30:02,261,1.69986298,101.5375248,0.9,57
15:30:04,261,1.69986098,101.5375228,0.7,62
15:30:06,261,1.69985998,101.5375218,1.2,207
15:30:08,260,1.699858773,101.5375185,1.5,17
15:30:11,260,1.699859773,101.5375175,2.6,279
15:30:13,260,1.699860773,101.5375155,1.7,259
15:30:15,259,1.699861545,101.5375133,1.2,153
15:30:17,259,1.699862545,101.5375113,0.8,141
15:30:19,258,1.699863295,101.5375091,1,136
15:30:22,257,1.699864023,101.5375058,1,137
15:30:24,257,1.699864023,101.5375048,0.8,110
15:30:26,257,1.699866023,101.5375038,0.8,236
15:30:28,256,1.699866731,101.5375016,0.9,3
15:30:30,255,1.699868416,101.5374994,0.9,347
