waktu,heading,wind speed,wind direction
14:34:59,272,0,0
14:35:01,272,0,0
14:35:03,272,0,0
14:35:05,272,0,0
14:35:08,271,0,0
14:35:10,272,0,0
14:35:12,272,0,0
14:35:14,272,0,0
14:35:16,272,0,0
14:35:19,272,0,0
14:35:21,272,0,0
14:35:23,272,0,0
14:35:25,272,0,0
14:35:27,272,0,0
14:35:29,272,0,0
14:35:31,272,0,0
14:35:34,272,0,0
14:35:36,272,0,0
14:35:38,272,0,0
14:35:40,272,0,0
14:35:42,272,0,0
14:35:45,272,0,0
14:35:47,272,0,0
14:35:49,272,0,0
14:35:51,272,0,0
14:35:53,272,0,0
14:35:55,272,0,0
14:35:58,272,0,0
14:36:00,272,0,0
14:36:02,272,0,0
14:36:04,272,0,0
14:36:06,272,0,0
14:36:09,272,0,0
14:36:11,272,0,0
14:36:13,272,0,0
14:36:15,272,0,0
14:36:17,272,0,0
14:36:20,272,0,0
14:36:22,272,0,0
14:36:24,272,0,0
14:36:26,272,0,0
14:36:28,272,0,0
14:36:31,272,0,110
14:36:33,272,0.2,108
14:36:35,272,0.5,111
14:36:37,272,0.5,110
14:36:39,272,0.2,107
14:36:42,272,0.4,106
14:36:44,251,0.3,56
14:36:46,272,0.6,57
14:36:48,272,0.1,60
14:36:50,272,0.7,41
14:36:53,272,0.7,52
14:36:55,272,0.6,32
14:36:57,272,0.4,38
14:36:59,272,0.6,54
14:37:01,272,0.4,55
14:37:04,272,0.4,52
14:37:06,272,0.2,151
14:37:08,272,0.6,113
14:37:10,272,0.4,68
14:37:12,272,0.5,63
14:37:15,272,0.7,116
14:37:17,272,0.6,85
14:37:19,272,0.3,73
14:37:21,272,0.5,73
14:37:23,272,0.6,61
14:37:26,272,0.1,81
14:37:28,272,0.3,126
14:37:30,272,0.5,119
14:37:32,272,0.8,114
14:37:34,272,0.7,350
14:37:37,272,0.6,355
14:37:39,272,0.4,120
14:37:41,272,0.6,179
14:37:43,272,0.6,178
14:37:45,272,0.7,153
14:37:48,272,0.6,83
14:37:50,272,0.1,83
14:37:52,272,0.5,77
14:37:54,272,0,78
14:37:56,272,0.2,68
14:37:58,272,0.2,58
14:38:01,272,0.1,77
14:38:03,272,0.1,77
14:38:05,272,0,79
14:38:07,272,0,128
14:38:09,272,0.1,106
14:38:12,272,0.3,95
14:38:14,272,0.4,100
14:38:16,272,0.1,105
14:38:18,272,0.5,105
14:38:20,272,0,105
14:38:23,272,0,94
14:38:25,272,0.2,93
14:38:27,272,0.1,93
14:38:29,272,0.1,83
14:38:31,272,0.1,79
14:38:34,272,0,79
14:38:36,272,0,94
14:38:38,272,0,89
14:38:40,272,0,89
14:38:42,271,0,87
14:38:45,272,0.2,87
14:38:47,272,0,86
14:38:49,272,0,79
14:38:51,271,0,81
14:38:53,272,0,80
14:38:56,272,0.1,80
14:38:58,272,0.1,80
14:39:00,271,0.1,80
14:39:02,271,0.3,127
14:39:04,271,0.6,122
14:39:07,272,0.6,121
14:39:09,271,0.6,98
14:39:11,271,0.6,103
14:39:13,272,0.6,130
14:39:15,271,0.6,123
14:39:18,271,0.4,75
14:39:20,271,0.6,78
14:39:22,271,0.4,77
14:39:24,271,0.6,97
14:39:26,272,0.6,106
14:39:29,271,1.1,106
14:39:31,271,0.7,149
14:39:33,271,0.6,129
14:39:35,271,0.7,117
14:39:37,271,0.6,87
14:39:40,271,0.5,86
14:39:42,272,0.6,80
14:39:44,272,0.5,99
14:39:46,272,0.6,83
14:39:48,271,0.6,56
14:39:51,272,0.4,34
14:39:53,271,0.7,227
14:39:55,272,0.6,226
14:39:57,271,0.8,226
14:39:59,271,0.8,227
14:40:02,272,0.8,226
14:40:04,272,0.6,227
14:40:06,271,0.5,227
14:40:08,271,0.6,226
14:40:10,272,0.8,226
14:40:13,271,0.6,226
14:40:15,272,0.5,226
14:40:17,271,0.4,227
14:40:19,271,0.6,228
14:40:21,272,0.7,228
14:40:24,272,1.1,228
14:40:26,272,1,228
14:40:28,272,0.7,228
14:40:30,272,0.6,228
14:40:32,271,0.5,228
14:40:35,271,0.6,228
14:40:37,271,0.8,228
14:40:39,271,0.8,172
14:40:41,272,0.8,172
14:40:43,272,0.8,174
14:40:46,272,0.7,188
14:40:48,272,0.8,176
14:40:50,271,0.9,161
14:40:52,272,0.9,159
14:40:54,271,0.9,152
14:40:57,272,1,168
14:40:59,272,0.9,169
14:41:01,272,0.8,168
14:41:03,272,0.7,162
14:41:05,272,0.7,129
14:41:07,272,0.6,130
14:41:09,272,0.6,67
14:41:12,272,0.7,68
14:41:14,272,0.7,85
14:41:16,272,0.6,93
14:41:18,272,0.6,75
14:41:20,272,0.6,155
14:41:23,272,0.7,134
14:41:25,272,0.6,134
14:41:27,272,0.6,134
14:41:29,272,0.9,153
14:41:31,272,0.7,81
14:41:33,272,0.6,28
14:41:35,272,0.4,46
14:41:38,272,0.7,54
14:41:40,271,0.7,35
14:41:42,272,0.6,57
14:41:44,272,0.6,52
14:41:46,272,0.6,51
14:41:48,272,0.6,44
14:41:50,272,0.6,24
14:41:53,272,0.5,38
14:41:55,272,0.2,51
14:41:57,272,0.4,39
14:41:59,272,0.8,28
14:42:01,272,0.7,34
14:42:04,272,0.6,35
14:42:06,272,0.7,76
14:42:08,272,0.9,97
14:42:10,272,0.9,88
14:42:12,272,0.7,69
14:42:14,272,0.8,133
14:42:16,272,0.8,114
14:42:19,272,0.6,65
14:42:21,272,0.8,45
14:42:23,272,0.6,45
14:42:25,271,0.5,52
14:42:27,272,0.6,39
14:42:29,272,0.8,49
14:42:31,272,0.6,68
14:42:33,272,0.6,36
14:42:36,272,0.8,139
14:42:38,272,0.7,217
14:42:40,272,0.5,210
14:42:42,272,0.3,209
14:42:44,272,0.7,177
14:42:47,272,0.6,140
14:42:49,272,0.7,74
14:42:51,272,0.6,83
14:42:53,272,0.6,74
14:42:55,272,0.9,74
14:42:57,272,0.7,52
14:43:00,272,1.3,114
14:43:02,272,1.1,202
14:43:04,272,0.8,203
14:43:06,272,0.6,203
14:43:08,272,0.6,202
14:43:10,272,0.1,201
14:43:12,272,0.3,201
14:43:14,272,0.3,201
14:43:16,272,0.6,201
14:43:19,272,0.6,201
14:43:21,272,0.3,201
14:43:23,272,0.6,201
14:43:25,272,0.5,201
14:43:27,272,0.7,200
14:43:29,272,0.9,194
14:43:32,272,0.9,189
14:43:34,272,1,187
14:43:36,272,1,158
14:43:38,272,0.9,159
14:43:40,272,0.6,159
14:43:42,272,0.7,134
14:43:44,272,0.7,105
14:43:47,272,0.7,71
14:43:49,272,1,214
14:43:51,272,1,198
14:43:53,272,0.7,157
14:43:55,272,0.8,161
14:43:57,272,0.8,158
14:44:00,272,0.9,118
14:44:02,272,0.9,122
14:44:04,272,0.7,123
14:44:06,272,0.7,126
14:44:08,272,0.8,119
14:44:11,272,1,97
14:44:13,272,1,96
14:44:15,272,1.1,97
14:44:17,272,0.9,96
14:44:19,272,0.7,104
14:44:22,272,0.9,84
14:44:24,272,0.8,71
14:44:26,272,0.7,51
14:44:28,272,0.8,56
14:44:30,272,0.7,56
14:44:33,272,0.9,143
14:44:35,272,0.8,74
14:44:37,272,0.7,67
14:44:39,272,0.7,64
14:44:41,272,0.9,69
14:44:43,272,1.1,68
14:44:45,272,0.8,80
14:44:48,272,1,92
